brake,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
100,1,1,1258,3,8736,10022,124,0,1745168778628
100,1,1,1258,3,8463,10022,119,0,1745168778828
100,1,1,1258,3,8211,10022,113,0,1745168779108
100,1,1,1258,3,9471,10022,111,0,1745168779308
0,1,1,1258,2,9187,10022,107,0,1745168779588
0,1,1,1258,2,8806,10022,101,0,1745168780027
0,1,1,1258,2,8542,10022,99,0,1745168780387
0,1,1,1258,2,8718,10022,97,5,1745168780707
0,1,1,1258,2,8785,10022,100,29,1745168781107
0,1,1,1258,2,9270,10022,100,41,1745168781387
0,1,1,1258,2,9614,10022,106,49,1745168781587
0,1,1,1258,2,9754,10022,108,49,1745168781747
0,1,1,1258,2,10732,10022,115,58,1745168782067
0,1,1,1258,2,11396,10022,123,61,1745168782347
0,1,1,1258,2,10242,10022,137,68,1745168782707
0,1,1,1258,3,10611,10022,142,73,1745168782987
100,1,1,1258,3,10217,10022,147,0,1745168783227
100,1,1,1258,3,9421,10022,133,0,1745168783508
100,1,1,1258,3,9635,10022,124,0,1745168783748
100,1,1,1258,3,10520,10022,124,0,1745168783948
100,1,1,1258,2,9536,10022,109,0,1745168784108
100,1,1,1258,2,8957,10022,103,0,1745168784388
100,1,1,1258,2,8337,10022,98,0,1745168784548
100,1,1,1258,2,8140,10022,92,0,1745168784828
100,1,1,1258,2,7447,10022,87,0,1745168785188
0,1,1,1258,2,7825,10022,84,0,1745168785388
100,1,1,1258,2,8945,10022,81,0,1745168785548
0,1,1,1258,1,8389,10022,78,0,1745168786068
0,1,1,1258,1,8282,10022,77,0,1745168786268
0,1,1,1258,1,8043,10022,76,0,1745168786667
0,1,1,1258,1,7818,10022,73,0,1745168786867
0,1,1,1258,1,7791,10022,73,0,1745168787067
0,1,1,1258,1,7507,10022,69,0,1745168787507
0,1,1,1258,1,7250,10022,67,0,1745168787907
0,1,1,1258,1,7061,10022,65,0,1745168788227
0,1,1,1258,1,6867,10022,63,0,1745168788427
0,1,1,1258,1,6772,10022,62,0,1745168788667
0,1,1,1258,1,6478,10022,60,0,1745168788947
0,1,1,1258,1,6457,10022,59,0,1745168789107
0,1,1,1258,1,6166,10022,58,0,1745168789467
0,1,1,1258,1,6249,10022,56,0,1745168789667
0,1,1,1258,1,6145,10022,56,0,1745168789827
0,1,1,1258,1,5865,10022,54,0,1745168790068
0,1,1,1258,1,5614,10022,53,1,1745168790228
0,1,1,1258,1,5884,10022,53,3,1745168790468
0,1,1,1258,1,5783,10022,53,3,1745168790668
0,1,1,1258,1,6139,10022,54,4,1745168790948
0,1,1,1258,1,6258,10022,55,6,1745168791108
0,1,1,1258,1,6324,10022,56,5,1745168791268
0,1,1,1258,1,6475,10022,58,4,1745168791588
0,1,1,1258,1,6043,10022,56,0,1745168792348
0,1,1,1258,1,5863,10022,55,0,1745168792548
0,1,1,1258,1,5727,10022,52,0,1745168792948
0,1,1,1258,1,5437,10022,50,0,1745168793228
0,1,1,1258,1,5275,10022,49,0,1745168793427
0,1,1,1258,1,5323,10022,48,0,1745168793627
0,1,1,1258,1,5204,10022,48,1,1745168793787
0,1,1,1258,1,5208,10022,48,4,1745168794187
0,1,1,1258,1,5600,10022,50,5,1745168794467
0,1,1,1258,1,5600,10022,52,5,1745168794627
0,1,1,1258,1,6022,10022,54,4,1745168794947
0,1,1,1258,1,6147,10022,56,4,1745168795227
0,1,1,1258,1,6214,10022,57,4,1745168795427
0,1,1,1258,1,6407,10022,58,4,1745168795587
0,1,1,1258,1,6449,10022,59,4,1745168795827
0,1,1,1258,1,6716,10022,61,5,1745168796347
0,1,1,1258,1,6917,10022,62,7,1745168796508
0,1,1,1258,1,6922,10022,62,7,1745168796668
0,1,1,1258,1,6968,10022,64,7,1745168796908
0,1,1,1258,1,7077,10022,65,7,1745168797108
0,1,1,1258,1,7255,10022,66,7,1745168797428
0,1,1,1258,1,7403,10022,67,7,1745168797748
0,1,1,1258,1,7489,10022,67,7,1745168797948
0,1,1,1258,1,7550,10022,69,8,1745168798188
0,1,1,1258,1,7676,10022,69,9,1745168798388
0,1,1,1258,1,7914,10022,71,14,1745168798668
0,1,1,1258,1,8347,10022,74,21,1745168798988
0,1,1,1258,1,8587,10022,76,23,1745168799188
0,1,1,1258,1,8874,10022,79,25,1745168799388
0,1,1,1258,1,9133,10022,81,26,1745168799588
0,1,1,1258,1,8107,10022,86,24,1745168800028
0,1,1,1258,1,8058,10022,92,27,1745168800267
0,1,1,1258,2,8530,10022,97,26,1745168800707
0,1,1,1258,2,8739,10022,99,28,1745168800907
0,1,1,1258,2,9056,10022,101,34,1745168801187
0,1,1,1258,2,9299,10022,105,35,1745168801427
0,1,1,1258,2,8299,10022,108,38,1745168801667
0,1,1,1258,3,8175,10022,113,1,1745168801947
100,1,1,1258,3,7769,10022,113,0,1745168802147
100,1,1,1258,3,8731,10022,102,0,1745168802507
100,1,1,1258,2,8393,10022,98,0,1745168802747
100,1,1,1258,2,7987,10022,92,0,1745168803148
0,1,1,1258,2,7704,10022,90,0,1745168803388
0,1,1,1258,2,7496,10022,87,0,1745168803668
0,1,1,1258,2,7427,10022,85,0,1745168803828
0,1,1,1258,2,7589,10022,84,8,1745168804068
0,1,1,1258,2,7404,10022,85,13,1745168804308
0,1,1,1258,2,7627,10022,86,15,1745168804468
0,1,1,1258,2,7935,10022,88,19,1745168804788
0,1,1,1258,2,8106,10022,91,20,1745168805028
0,1,1,1258,2,8442,10022,96,23,1745168805428
0,1,1,1258,2,8861,10022,100,25,1745168805828
